qos,sample,p50_ms,p95_ms,p99_ms,avg_temperature,window_messages
0,1,6,375,382,19.2804,800
0,2,6,375,382,19.2804,800
0,3,6,8,9,19.68271,1000
0,4,6,8,9,19.68271,1000
0,5,6,8,9,19.68271,1000
0,6,5,8,8,20.40578,1000
0,7,5,8,8,20.40578,1000
0,8,5,8,8,20.40578,1000
0,9,4,8,8,20.90103,1000
0,10,4,8,8,20.90103,1000
0,11,4,8,8,20.90103,1000
0,12,4,8,8,20.90103,1000
0,13,4,7,8,20.97195,1000
0,14,4,7,8,20.97195,1000
0,15,4,7,8,20.97195,1000
0,16,4,6,7,21.05894,1000
0,17,4,6,7,21.05894,1000
0,18,4,6,7,21.05894,1000
0,19,4,7,7,21.10132,1000
0,20,4,7,7,21.10132,1000
0,21,4,7,7,21.10132,1000
0,22,4,7,7,21.10132,1000
0,23,4,6,7,21.045840000000002,1000
0,24,4,6,7,21.045840000000002,1000
0,25,4,6,7,21.045840000000002,1000
0,26,4,7,9,21.06685,1000
0,27,4,7,9,21.06685,1000
0,28,4,7,9,21.06685,1000
0,29,4,5,6,21.14602,1000
0,30,4,5,6,21.14602,1000
0,31,4,5,6,21.14602,1000
0,32,4,6,6,20.99538,1000
0,33,4,6,6,20.99538,1000
0,34,4,6,6,20.99538,1000
0,35,4,6,6,20.99538,1000
0,36,4,6,7,21.148889999999998,1000
0,37,4,6,7,21.148889999999998,1000
0,38,4,6,7,21.148889999999998,1000
0,39,3,5,5,21.16668,1000
0,40,3,5,5,21.16668,1000
0,41,3,5,5,21.16668,1000
0,42,4,6,7,21.25712,1000
0,43,4,6,7,21.25712,1000
0,44,4,6,7,21.25712,1000
0,45,4,6,7,20.63625,1000
0,46,4,6,7,20.63625,1000
0,47,4,6,7,20.63625,1000
0,48,4,6,7,20.63625,1000
0,49,3,5,5,20.66105,1000
0,50,3,5,5,20.66105,1000
0,51,3,5,5,20.66105,1000
0,52,4,6,6,20.87118,1000
0,53,4,6,6,20.87118,1000
0,54,4,6,6,20.87118,1000
0,55,4,6,6,20.95602,1000
0,56,4,6,6,20.95602,1000
0,57,4,6,6,20.95602,1000
0,58,4,6,6,20.95602,1000
0,59,3,5,5,20.908630000000002,1000
0,60,3,5,5,20.908630000000002,1000
0,61,3,5,5,20.908630000000002,1000
0,62,4,5,5,21.083759999999998,1000
0,63,4,5,5,21.083759999999998,1000
0,64,4,5,5,21.083759999999998,1000
0,65,4,5,5,20.97701,1000
0,66,4,5,5,20.97701,1000
0,67,4,5,5,20.97701,1000
0,68,3,6,7,21.108790000000003,1000
0,69,3,6,7,21.108790000000003,1000
0,70,3,6,7,21.108790000000003,1000
0,71,3,6,7,21.108790000000003,1000
0,72,4,5,5,20.97382,1000
0,73,4,5,5,20.97382,1000
0,74,4,5,5,20.97382,1000
0,75,3,4,5,20.99016,1000
0,76,3,4,5,20.99016,1000
0,77,3,4,5,20.99016,1000
0,78,4,5,6,21.220419999999997,1000
0,79,4,5,6,21.220419999999997,1000
0,80,4,5,6,21.220419999999997,1000
0,81,3,5,6,21.06759,1000
0,82,3,5,6,21.06759,1000
0,83,3,5,6,21.06759,1000
0,84,3,5,6,21.06759,1000
0,85,3,5,8,21.130689999999998,1000
0,86,3,5,8,21.130689999999998,1000
0,87,3,5,8,21.130689999999998,1000
0,88,4,5,5,20.90046,1000
0,89,4,5,5,20.90046,1000
0,90,4,5,5,20.90046,1000
0,91,4,5,5,21.15945,1000
0,92,4,5,5,21.15945,1000
0,93,4,5,5,21.15945,1000
0,94,4,5,5,21.15945,1000
0,95,4,5,5,21.088549999999998,1000
0,96,4,5,5,21.088549999999998,1000
0,97,4,5,5,21.088549999999998,1000
0,98,4,5,6,20.93127,1000
0,99,4,5,6,20.93127,1000
